"engl","spa"
"I'm not your son.","No soy tu hijo."
"I'm on the phone.","Estoy en el teléfono."
"I'm on the phone.","Estoy al teléfono."
"I'm on your side.","Estoy de su lado."
"I'm on your side.","Estoy de tu lado."
"I'm on your side.","Soy tu aliado."
"I'm on your side.","Estoy a tu lado."
"I'm out of shape.","No estoy en forma."
"I'm pretty blind.","Estoy bastante ciego."
"I'm pretty blind.","Veo más bien poco."
"I'm pretty blind.","Estoy cegato."
"I'm pretty tired.","Estoy bastante cansado."
"I'm proud of you.","Estoy orgulloso de ti."
"I'm proud of you.","Estoy orgullosa de ti."
"I'm proud of you.","Estoy orgulloso de vosotros."
"I'm proud of you.","Estoy orgulloso de vosotras."
"I'm proud of you.","Estoy orgulloso de usted."
"I'm proud of you.","Estoy orgulloso de ustedes."
"I'm really angry.","Estoy realmente enojado."
"I'm really sorry.","Realmente lo siento."
"I'm running late.","Se me hizo tarde."
"I'm running late.","Voy tarde."
"I'm running late.","Voy con retraso."
"I'm sick of fish.","Estoy hastiada de pescado."
"I'm single again.","Estoy solo otra vez."
"I'm sitting here.","Yo me siento aquí."
"I'm staying here.","Me quedo aquí."
"I'm still hungry.","Todavía tengo hambre."
"I'm still single.","Todavía soy soltero."
"I'm still single.","Todavía estoy soltero."
"I'm still single.","Todavía estoy soltera."
"I'm still single.","Sigo soltero."
"I'm still sleepy.","Aún tengo sueño."
"I'm sure of this.","Estoy seguro de esto."
"I'm sure of this.","Estoy bastante seguro."
"I'm the gardener.","Soy el jardinero."
"I'm the quickest.","Soy el más rápido."
"I'm tired of you.","Estoy harto de ti."
"I'm totally lost.","Estoy totalmente perdida."
"I'm very excited.","Estoy muy emocionada."
"I'm very nervous.","Estoy muy nerviosa."
"I'm very relaxed.","Estoy muy relajada."
"I'm very thirsty.","Tengo mucha sed."
"I'm wasting time.","Estoy perdiendo tiempo."
"I'm watching you.","Te estoy viendo."
"I'm your brother.","Soy tu hermano."
"I've been robbed.","He sido robado."
"I've been saving.","He estado ahorrando."
"I've drawn a map.","He dibujado un mapa."
"I've felt better.","Me he sentido mejor."
"I've found a job.","Encontré trabajo."
"I've got cookies.","Tengo galletas."
"I've hurt myself.","Me lastimé."
"I've said enough.","He dicho suficiente."
"If not now, when?","Si no es ahora, ¿cuándo?"
"Ironic, isn't it?","Irónico, ¿verdad?"
"Is 2:30 too late?","¿Es demasiado tarde a las dos y media?"
"Is Tom a suspect?","¿Tom es un sospechoso?"
"Is Tom all right?","¿Tom está bien?"
"Is Tom awake yet?","¿Está Tom despierto todavía?"
"Is Tom conscious?","¿Está Tom consciente?"
"Is Tom dangerous?","¿Tom es peligroso?"
"Is Tom in a coma?","¿Está Tom en coma?"
"Is Tom mad at us?","¿Está Tom enojado con nosotros?"
"Is Tom reachable?","¿Puedes contactar con Tom?"
"Is Tom reachable?","¿Tom está disponible?"
"Is Tom with Mary?","¿Está Tom con Mary?"
"Is anybody there?","¿Hay alguien allí?"
"Is everyone here?","¿Están todos aquí?"
"Is everything OK?","¿Todo está bien?"
"Is everything OK?","¿Está todo bien?"
"Is it contagious?","¿Es contagioso?"
"Is it really bad?","¿Es muy grave?"
"Is it really you?","¿De verdad eres tú?"
"Is it really you?","¿Eres tú de verdad?"
"Is that an issue?","¿Es un problema?"
"Is that for sale?","¿Está eso a la venta?"
"Is that possible?","¿Es posible?"
"Is that suitable?","¿Eso es adecuado?"
"Is the apple red?","¿La manzana es roja?"
"Is the bank open?","¿Está abierto el banco?"
"Is the lake deep?","¿El lago es profundo?"
"Is the milk good?","¿Está buena la leche?"
"Is the work hard?","¿El trabajo es duro?"
"Is this a flower?","¿Esto es una flor?"
"Is this a letter?","¿Es esta una carta?"
"Is this a puzzle?","¿Es esto un puzzle?"
"Is this suitable?","¿Esto es adecuado?"
"Is this your DVD?","¿Éste es tu DVD?"
"Is this your car?","¿Este es tu automóvil?"
"Is this your car?","¿Este es tu coche?"
"Is this your dog?","¿Es este tu perro?"
"Is this your dog?","¿Es este su perro?"
"Is your car fast?","¿Tu coche es rápido?"
"Is your dog mean?","¿Es tu perro cruel?"
"Is your name Tom?","¿Te llamas Tom?"
"Isn't that right?","¿A que sí?"
"Isn't that weird?","¿No es eso raro?"
"It began to rain.","Empezó a llover."
"It began to rain.","Comenzó a llover."
"It began to snow.","Empezó a nevar."
"It can't be true.","No puede ser cierto."
"It can't be true.","No puede ser verdad."
"It can't be true.","Eso no puede ser verdad."
"It costs 2 euros.","Cuesta 2 euros."
"It creeps me out.","Me da una enchinada."
"It doesn't exist.","No existe."
"It freaks me out.","Me asusta."
"It hurts so much.","Duele tanto..."
"It is very short.","Es muy corto."
"It is what it is.","Es lo que es."
"It isn't a dream.","Esto no es un sueño."
"It just came out.","Acaba de salir."
"It looks painful.","Parece doloroso."
"It looks perfect.","Se ve perfecto."
"It looks strange.","Se ve extraño."
"It made me smile.","Me hizo sonreír."
"It may be a trap.","Podría ser una trampa."
"It may rain soon.","Puede que llueva pronto."
"It seemed likely.","Parecía probable."
"It seems strange.","Parece extraño."
"It should be fun.","Debería ser divertido."
"It was a hot day.","Fue un día caluroso."
"It was a tragedy.","Fue una tragedia."
"It was all wrong.","Todo estaba mal."
"It was an ambush.","Era una emboscada."
"It was at school.","Fue en la escuela."
"It was dark blue.","Era azul oscuro."
"It was delicious.","Estaba delicioso."
"It was drizzling.","Lloviznaba."
"It was excessive.","Fue excesivo."
"It was fantastic.","Fue fantástico."
"It was fantastic.","Estuvo fantástico."
"It was fantastic.","Estaba fantástico."
"It was half full.","Estaba medio lleno."
"It was his fault.","Fue culpa suya."
"It was last year.","Fue el año pasado."
"It was like that.","Era así."
"It was like that.","Era tal cual."
"It was so simple.","Era tan simple."
"It was solid red.","Era de un rojo sólido."
"It was thrilling.","Fue emocionante."
"It was too small.","Era demasiado pequeño."
"It was very cold.","Hacía mucho frío."
"It was very dark.","Estaba muy oscuro."
"It was wonderful.","Fue maravilloso."
"It was wonderful.","Era maravilloso."
"It was yesterday.","Fue ayer."
"It was your idea.","Fue tu idea."
"It will be scary.","Será aterrador."
"It won't be easy.","No será fácil."
"It'll snow today.","Va a nevar hoy."
"It'll take hours.","Llevará horas."
"It's Greek to me.","Me suena a chino."
"It's Tom's fault.","Eso es culpa de Tom."
"It's Tom's group.","Es el grupo de Tom."
"It's Tom's house.","Esta es la casa de Tom."
"It's a good book.","Es un libro genial."
"It's a good deal.","Es un buen trato."
"It's a good idea.","Es una buena idea."
"It's a great gag.","Es un gran chiste."
"It's a rainy day.","Es un día lluvioso."
"It's a sunny day.","Es un día soleado."
"It's all in here.","Todo está aquí."
"It's almost 2:30.","Van a ser las dos y media."
"It's almost noon.","Es casi mediodía."
"It's almost over.","Está casi acabado."
"It's almost time.","Ya casi es hora."
"It's complicated.","Es complicado."
"It's dark inside.","Dentro está oscuro."
"It's deer season.","Es temporada de venados."
"It's easily done.","Es fácil de hacer."
"It's gotten dark.","Ha oscurecido."
"It's hot in here.","Hace calor aquí."
"It's interesting.","Es interesante."
"It's like a drug.","Es como una droga."
"It's monkey meat.","Es carne de mono."
"It's my turn now.","Ahora es mi turno."
"It's my umbrella.","Es mi paraguas."
"It's nearly 2:30.","Son casi las dos y media."
"It's nearly dawn.","El amanecer está cerca."
"It's no big deal.","No es muy importante."
"It's not a trick.","No es un truco."
"It's not a watch.","No es un reloj."
"It's not logical.","No es lógico."
"It's not logical.","No tiene lógica."
"It's not natural.","No es natural."
"It's not unusual.","No es raro."
"It's not unusual.","No es inusual."
"It's now my turn.","Ahora es mi turno."
"It's on the left.","Está a la izquierda."
"It's on the sofa.","Está en el sofá."
"It's on the sofa.","Está sobre el sofá."
"It's only Monday.","Sólo es lunes."
"It's only a game.","Es solo un juego."
"It's our destiny.","Es nuestro destino."
"It's pretty cool.","Es muy guay."
"It's pretty cool.","Está muy guay."
"It's pretty good.","Es bastante bueno."
"It's probably OK.","De seguro está bien."
"It's raining now.","Ahora está lloviendo."
"It's really hard.","Es realmente difícil."
"It's second-hand.","Es de segunda mano."
"It's snowing now.","Ahora está nevando."
"It's so hopeless.","Es tan inútil."
"It's so unlikely.","Es tan improbable."
"It's still early.","Todavía es temprano."
"It's sunny today.","Hoy hace sol."
"It's supper time.","Es hora de cenar."
"It's their right.","Es su derecho."
"It's too painful.","Es demasiado doloroso."
"It's transparent.","Es transparente."
"It's very bitter.","Es muy amargo."
"It's very boring.","Es muy aburrido."
"It's very simple.","Es muy simple."
"It's what I want.","Es lo que quiero."
"It's worth a try.","Vale la pena intentarlo."
"It's worth a try.","Merece la pena intentarlo."
"It's your choice.","Es tu decisión."
"It's your choice.","Tú decides."
"Japan is in Asia.","Japón queda en Asia."
"Japan is in Asia.","Japón está en Asia."
"Just get dressed.","Solo vístete."
"Just go to sleep.","Vete a dormir."
"Just go to sleep.","Limítate a dormir."
"Just have a seat.","Siéntate."
"Just have a seat.","Sentémonos."
"Just have a seat.","Limítate a sentarte."
"Just say nothing.","No digas nada y ya."
"Just talk to Tom.","Simplemente hablen con Tom."
"Keep me informed.","Manténgame informado."
"Keep me informed.","Manteneme informado."
"Keep the dog out.","Deja al perro fuera."
"Keep to the left.","Siga a la izquierda."
"Keep to the left.","Sigue hacia la izquierda."
"Kick the door in.","Fuerza la puerta."
"Kick the door in.","Abre la puerta con una patada."
"Kick the door in.","Abre la puerta de golpe."
"Leave everything.","Déjalo todo."
"Leave everything.","Abandónalo todo."
"Leave everything.","Déjenlo todo."
"Leave it be, Tom.","Déjalo estar, Tom."
"Leave it with me.","Déjalo conmigo."
"Leave that there.","Dejá eso ahí."
"Leave this to me.","Dejádmelo a mí."
"Let Tom carry it.","Deja que Tom lo cargue."
"Let go of my arm!","Suéltame el brazo."
"Let go of my arm.","Suéltame el brazo."
"Let go of my arm.","Suelta mi brazo."
"Let go of my arm.","Suelte mi brazo."
"Let go of my arm.","Soltadme el brazo."
"Let it rest, Tom.","Déjalo descansar, Tom."
"Let me come over.","Déjame ir allí."
"Let me repair it.","Permíteme repararlo."
"Let me repair it.","Déjame arreglarlo."
"Let me try again.","Déjame tratar otra vez."
"Let them come in.","Déjalos entrar."
"Let's be friends.","Seamos amigos."
"Let's fly a kite.","Remontemos un barrilete."
"Let's fly a kite.","Remontemos una cometa."
"Let's fly a kite.","Volemos un volantín."
"Let's fly a kite.","Volemos un papalote."
"Let's go back in.","Volvamos adentro."
"Let's go back in.","Volvamos a entrar."
"Let's go fishing.","Vayamos a pescar."
"Let's have a try.","Probemos eso."
"Let's have lunch.","Almorcemos."
"Let's keep going.","Sigamos adelante."
"Let's not forget.","No olvidemos."
"Let's play cards.","Juguemos a las cartas."
"Let's play cards.","Juguemos a la baraja."
"Let's play chess.","Juguemos ajedrez."
"Let's take a bus.","Pesquemos un bus."
"Light the candle.","Encienda la candela."
"Light the candle.","Enciende la vela."
"Listen and learn.","Escuchá y aprendé."
"Listen carefully.","Escucha con atención."
"Listen carefully.","Escuchen con cuidado."
"Live free or die.","Vive en libertad o muere."
"Look at that dog.","Mirá ese perro."
"Look who's awake.","Mira quién está despierto."
"Love doesn't die.","El amor no muere."
"Love is immortal.","El amor es inmortal."
"Lower your voice.","Baja la voz."
"Lower your voice.","Bajá la voz."
"Lower your voice.","Baje la voz."
"Lower your voice.","Bajen la voz."
"Lunch is at noon.","El almuerzo es al mediodía."
"Mail this letter.","Manda esta carta por correo."
"Make way, please.","Abran paso, por favor."
"Make way, please.","Permiso, por favor."
"Make your choice.","Haz tu elección."
"Make your choice.","Elige."
"Make your choice.","Escoge."
"Mary is a tomboy.","Mary es un marimacho."
"Mary is a tomboy.","Mary es un chicazo."
"Mary is charming.","Mary es encantadora."
"Mary is my niece.","Mary es mi sobrina."
"Mary is pregnant.","Mary está embarazada."
"Mary, I love you.","Mary, te amo."
"Mary, I love you.","Mary, te quiero."
"May I open a can?","¿Puedo abrir una lata?"
"May I smoke here?","¿Puedo fumar aquí?"
"Maybe it'll snow.","Quizá nieve."
"Maybe it'll snow.","Puede que nieve."
"Maybe it'll work.","Puede que funcione."
"My answer is yes.","Mi respuesta es sí."
"My arm is broken.","Tengo partido el brazo."
"My cat looks sad.","Mi gato se ve triste."
"My eyes are blue.","Mis ojos son azules."
"My eyes are sore.","Mis ojos están adoloridos."
"My father is out.","Mi padre salió."
"My father smokes.","Mi padre fuma."
"My feet are cold.","Tengo los pies fríos."
"My hair is blond.","Mi pelo es rubio."
"My hair is blond.","Mi cabello es rubio."
"My hair is blond.","Tengo el pelo güero."
"My house is here.","Mi casa está aquí."
"My house is tiny.","Mi casa es pequeñita."
"My house is tiny.","Mi casa es minúscula."
"My job is boring.","Mi trabajo es aburrido."
"My legs are sore.","Me duelen las piernas."
"My legs are weak.","Mis piernas son débiles."
"My mother is out.","Mi madre no está en casa."
"My mother is out.","Mi madre salió."
"My mother is out.","Mi madre ha salido."
"My mouth was dry.","Mi boca estaba seca."
"My mouth was dry.","Tenía la boca seca."
"My nose is itchy.","Me pica la nariz."
"My pencil is red.","Mi lápiz es rojo."
"My place is here.","Mi lugar está aquí."
"My pulse is fast.","Mi pulso está elevado."
"My pulse is slow.","Mi pulso está bajo."
"My pulse is slow.","Mi pulso es débil."
"My scarf is blue.","Mi pañuelo es azul."
"My stomach hurts.","Me duele el estómago."
"My stomach hurts.","Me duele mi estómago."
"My sunburn hurts.","Me duele la quemadura."
"My throat is dry.","Mi garganta está seca."
"My toy is broken.","Mi juguete está dañado."
"My uncle is rich.","Mi tío es rico."
"My wife beats me.","Mi mujer me pega."
"My wife beats me.","Mi esposa me golpea."
"Never tell a lie.","No mientas nunca."
"Nice to meet you.","Mucho gusto."
"Nice to meet you.","Un placer conocerte."
"No one asked you.","Nadie te preguntó."
"No one helped me.","Nadie me prestó ayuda."
"No one helped me.","Nadie me ayudó."
"No one here pays.","Nadie aquí paga."
"No one is coming.","No vendrá nadie."
"No one knows why.","Nadie sabe por qué."
"No one knows yet.","Nadie sabe todavía."
"No one likes Tom.","Nadie quiere a Tom."
"No one likes war.","A nadie le gusta la guerra."
"No one likes war.","La guerra no le gusta a nadie."
"No one loves war.","A nadie le gusta la guerra."
"No one loves war.","La guerra no le gusta a nadie."
"No one responded.","Nadie respondió."
"No one says that.","Nadie dice eso."
"No one says that.","Ninguno dice eso."
"No one showed up.","Nadie apareció."
"No one thinks so.","Nadie piensa eso."
"No one warned me.","Nadie me previno."
"No one warned me.","Nadie me advirtió."
"No one was there.","Allí no había nadie."
"No one was there.","Nadie estaba allí."
"No one will care.","A nadie le importará."
"No one will care.","A nadie le va a importar."
"No one will know.","Nadie sabrá."
"No one will know.","Nadie lo sabrá."
"No one's injured.","Estamos ilesos."
"No one's looking.","Nadie está mirando."
"No one's working.","Nadie está trabajando."
"No pain, no gain.","Sin esfuerzo no se consigue nada."
"No pain, no gain.","El que no arriesga nada, no gana nada."
"Nobody bought it.","No lo compró nadie."
"Nobody does that.","Nadie hace eso."
"Nobody is hungry.","Nadie tiene hambre."
"Nobody knows why.","Nadie sabe por qué."
"Nobody likes Tom.","Nadie quiere a Tom."
"Nobody likes war.","A nadie le gusta la guerra."
"Nobody likes war.","La guerra no le gusta a nadie."
"Nobody likes you.","Nadie te quiere."
"Nobody loves war.","La guerra no le gusta a nadie."
"Nobody remembers.","Nadie recuerda."
"Nobody taught me.","Nadie me ha enseñado."
"Nobody taught me.","Lo aprendí yo solo."
"Nobody taught me.","Nadie me enseñó."
"Nobody taught me.","Lo aprendí por mi cuenta."
"Nobody will care.","A nadie le importará."
"Nobody will come.","Nadie viene."
"Nobody will know.","Nadie sabrá."
"Nobody will know.","No lo sabrá nadie."
"Nobody's perfect.","Nadie es perfecto."
"Nothing happened.","No pasó nada."
"Nothing is wrong.","No hay nada erróneo."
"Now I understand.","Ahora lo entiendo."
"Now I understand.","Ahora lo cacho."
"Now is your time.","Ahora es tu momento."
"Now it's my turn.","Ahora es mi turno."
"Now it's my turn.","Ahora sigue mi turno."
"Now it's serious.","Ahora se puso serio."
"Now try to sleep.","Ahora intenta dormir."
"Now try to sleep.","Ahora intentad dormir."
"Now try to sleep.","Ahora intente dormir."
"Now try to sleep.","Ahora intenten dormir."
"Now what's wrong?","¿Qué ha pasado ahora?"
"Oh no, not again!","¡Oh no, no otra vez!"
"Open the windows.","Abrí las ventanas."
"Open the windows.","Abra las ventanas."
"Our team can win.","Nuestro equipo puede ganar."
"Our team may win.","Puede que nuestro equipo gane."
"Pass the ketchup.","Pasa el ketchup."
"Pass the ketchup.","Pásame el ketchup."
"Pay what you can.","Paga lo que puedas."
"People are dying.","La gente está muriendo."
"People are funny.","La gente es ridícula."
"People love dogs.","La gente ama a los perros."
"People will talk.","La gente hablará."
"Pets are allowed.","Se permiten mascotas."
"Please answer me.","Por favor, respóndeme."
"Please answer me.","Por favor, contestame."
"Please be gentle.","Por favor, sé suave."
"Please be gentle.","Házmelo con cuidado."
"Please be gentle.","Sé un caballero."
"Please be polite.","Por favor, sea educado."
"Please be polite.","Por favor, sé educado."
"Please calm down.","Por favor, cálmate."
"Please calm down.","Por favor, calmaos."
"Please calm down.","Por favor, tranquilícese."
"Please calm down.","Cálmate, por favor."
"Please come here.","Por favor, ven aquí."
"Please come here.","Por favor, venga aquí."
"Please come here.","Por favor, venid aquí."
"Please come over.","Por favor, pásate."
"Please come over.","Por favor, vente."
"Please copy this.","Por favor, copia esto."
"Please copy this.","Por favor, copiad esto."
"Please copy this.","Por favor, copie esto."
"Please copy this.","Por favor, copiá esto."
"Please copy this.","Por favor, copien esto."
"Please don't cry.","Por favor, no llores."
"Please don't cry.","No llores por favor."
"Please don't cry.","No llores, por favor."
"Please don't die!","¡No te mueras, por favor!"
"Please don't die.","Por favor, no mueras."
"Please follow me.","Por favor, sígame."
"Please forget it.","Por favor, olvídalo."
"Please let me go.","Por favor déjame ir."
"Please let me in.","¡Déjame entrar, por favor!"
"Please phone him.","Llámalo, por favor."
"Please sit still.","Siéntate recto."
"Please slow down.","Por favor, más despacio."
"Please stay here.","Por favor, quédate aquí."
"Please step back.","Por favor, retroceda."
"Please try again.","Por favor, inténtalo de nuevo."
"Please try again.","Por favor, inténtalo otra vez."
"Please try again.","Por favor, inténtelo nuevamente."
"Please turn over.","Dese vuelta, por favor."
"Please turn over.","Date vuelta, por favor."
"Please turn over.","Dense vuelta, por favor."
"Please wait here.","Esperad aquí, por favor."
"Please wait here.","Espere aquí, por favor."
"Prepare yourself.","Prepárate."
"Pull the trigger.","Hala el gatillo."
"Put Tom on a bus.","Envía a Tom en un bus."
"Put it down, Tom.","Bájalo, Tom."
"Put on your coat.","Ponte el abrigo."
"Put on your mask.","Ponte la mascarilla."
"Put out the fire.","¡Apaga el fuego!"
"Put your mask on.","Ponte la mascarilla."
"Quit complaining.","¡Dejen de quejarse!"
"Quit complaining.","¡Dejad de quejaros!"
"Quit complaining.","¡Para de quejarte!"
"Rabbits can swim.","Los conejos pueden nadar."
"Rabbits can swim.","Los conejos saben nadar."
"Rain is unlikely.","La precipitación es poco probable."
"Raise your hands!","Levantá tus manos."
"Raise your hands!","Levanta tus manos."
"Raise your hands!","Levanten sus manos."
"Raise your hands!","Levante sus manos."
"Raise your hands.","Levantá tus manos."
"Raise your hands.","Levanta tus manos."
"Raise your hands.","Levanten sus manos."
"Raise your hands.","Levante sus manos."
"Read it and weep.","Léelo y llora."
"Read the article.","Lee el artículo."
"Red wine, please.","Vino tinto, por favor."
"Respect yourself.","Respétate a ti mismo."
"Revenge is sweet.","La venganza es dulce."
"Rome is in Italy.","Roma queda en Italia."
"Rome is in Italy.","Roma está en Italia."
"Save your breath.","Cierra la boca."
"Save your breath.","Ahórrate la saliva."
"Save your breath.","Ahórrate la palabrería."
"Save your breath.","No vale la pena hablar."
"Save your breath.","Ahórrate tu aliento."
"Say it in French.","Dilo en francés."
"Say your prayers.","Di tus oraciones."
"School is boring.","El colegio es aburrido."
"See for yourself.","Míralo tú mismo."
"See for yourself.","Véalo usted mismo."
"See you at lunch.","Te veo en el almuerzo."
"See you at lunch.","Los veo en el almuerzo."
"See you tomorrow.","Hasta mañana."
"See you tomorrow.","Te veo mañana."
"See you tomorrow.","Los veo mañana."
"Seize the moment.","Coge el momento."
"Shall I help you?","¿Lo puedo ayudar?"
"Share it with me.","Compártelo conmigo."
"Share it with me.","Compartilo conmigo."
"Share it with us.","Compartilo con nosotros."
"She became happy.","Ella se volvió feliz."
"She began crying.","Ella se puso a llorar."
"She began crying.","Ella empezó a llorar."
"She betrayed you.","Ella les traicionó."
"She betrayed you.","Ella os traicionó."
"She betrayed you.","Ella te traicionó."
"She came at once.","Ella vino enseguida."
"She defeated him.","Ella lo derrotó."
"She despised him.","Ella le despreció."
"She despises him.","Ella le desprecia."
"She did it again.","Ella lo hizo de nuevo."
"She didn't reply.","Ella no respondió."
"She died in 1960.","Ella murió en 1960."
"She divorced him.","Ella se divorció de él."
"She does know it.","Ella sí que lo sabe."
"She drives a BMW.","Ella conduce un BMW."
"She has dry hair.","Ella tiene el cabello seco."
"She has gone out.","Ella salió."
"She has no shame.","Ella no tiene vergüenza."
"She has no shame.","Ella es cara rota."
"She hit him hard.","Ella le golpeó con fuerza."
"She hit him hard.","Ella le pegó con fuerza."
"She idolized him.","Ella lo idolatraba."
"She insulted him.","Ella lo insultó."
"She is Ethiopian.","Es etíope."
"She is a student.","Ella es una estudiante."
"She is beautiful.","Es guapa."
"She is beautiful.","Ella es preciosa."
"She is easygoing.","Ella es agradable."
"She is mad at me.","Ella está enfadada conmigo."
"She is not there.","No está ahí."
"She is not young.","Ella no es joven."
"She is on a diet.","Ella está a dieta."
"She is on a diet.","Está a dieta."
"She is shameless.","Ella es cara rota."
"She is very busy.","Está muy ocupada."
"She is very busy.","Ella está muy ocupada."
"She just told me.","Me lo acaba de decir."
"She kept working.","Siguió trabajando."
"She likes tigers.","A ella le gustan los tigres."
"She likes tigers.","Le gustan los tigres."
"She likes to run.","Le gusta correr."
"She looked at me.","Ella me miró."
"She lost her way.","Ella perdió el norte."
"She loves coffee.","Le encanta el café."
"She may not come.","Puede que no venga."
"She must be sick.","Debe de estar enferma."
"She put on socks.","Ella se puso calcetines."
"She quit smoking.","Ella dejó de fumar."
"She rejected him.","Ella lo rechazó."
"She repulses him.","Ella le rechaza."
"She rode a camel.","Ella montó un camello."
"She said goodbye.","Ella dijo adiós."
"She said goodbye.","Ella dijo chao."
"She said goodbye.","Ella se despidió."
"She sang happily.","Ella cantaba alegremente."
"She seems OK now.","Ahora parece estar bien."
"She smiled at me.","Ella me sonrió."
"She smiled sadly.","Ella sonrió melancólicamente."
"She smokes a lot.","Ella fuma mucho."
"She smokes a lot.","Ella fuma como un carretero."
"She stared at me.","Ella fijó su mirada en mí."
"She stared at me.","Ella fijó la mirada en mí."
"She startled him.","Ella lo sorprendió."
"She studies hard.","Ella estudia arduamente."
"She studies hard.","Ella estudia duro."
"She talked a lot.","Ella habló mucho."
"She took my hand.","Ella cogió mi mano."
"She was promoted.","Ella fue promovida."
"She was swimming.","Ella estaba nadando."
"She wore glasses.","Ella llevaba gafas."
"She worships him.","Ella le adora."
"She worships him.","Ella lo adora."
"She wrote in ink.","Ella escribió con tinta."
"She's nice to me.","Ella es simpática conmigo."
"Should I sell it?","¿Debería venderla?"
"Show us the room.","Mostranos la habitación."
"Shut that boy up.","Haz callar a ese niño."
"Sit at the table.","Siéntate a la mesa."
"Sit down with me.","Siéntate conmigo."
"Sit down, please.","Por favor, siéntese."
"Sit down, please.","Tome asiento, por favor."
"Sit down, please.","Por favor tome asiento."
"Sit down, please.","Siéntense, por favor."
"Sit down, please.","Sentaos por favor."
"Sit down, please.","Sentate, por favor."
"Sit down, please.","Sentate por favor."
"Size does matter.","El tamaño sí importa."
"Somebody laughed.","Alguien se rio."
"Somebody saw you.","Alguien te vio."
"Someone is lying.","Alguien está mintiendo."
"Someone screamed.","Alguien gritó."
"Someone's coming.","Viene alguien."
"Someone's coming.","Alguien llega."
"Someone's coming.","Alguno se acerca."
"Someone's coming.","Alguno viene."
"Someone's coming.","Viene alguno."
"Someone's eating.","Alguien está comiendo."
"Sorry to be late.","Lamento llegar tarde."
"Sorry to be late.","Disculpe la tardanza."
"Speak up, please.","Hable más alto, por favor"
"Spiders scare me.","Me dan miedo las arañas."
"Spring is coming.","La primavera se acerca."
"Stand up, please.","Póngase de pie, por favor."
"Stand up, please.","Párese, por favor."
"Stay close to me.","Quédate cerca mía."
"Stay right there.","No te muevas."
"Stay right there.","Quédate ahí."
"Stop apologizing.","Deja de disculparte."
"Stop apologizing.","No te disculpes."
"Stop avoiding me.","Deja de evitarme."
"Stop being nosey.","Deja de ser metiche."
"Stop complaining.","Dejá de quejarte."
"Stop daydreaming.","Deja de fantasear."
"Stop interfering.","Deja de interferir."
"Stop pinching me.","Dejá de pellizcarme."
"Stop right there.","Párate ahí mismo."
"Stop saying that!","¡Para de decir eso!"
"Stop saying that.","Deja de decir eso."
"Stop saying that.","Dejen de decir eso."
"Stop scaring Tom.","Deja de asustar a Tom."
"Stop showing off!","¡Para de presumir!"
"Stop touching me.","Deja de sobarme."
"Stop touching me.","Para de tocarme."
"Stop touching me.","Deja de tocarme."
"Summer has ended.","El verano se ha terminado."
"Summer has ended.","El verano se acabó."
"Summer has ended.","El verano terminó."
"Summer has ended.","El verano ha terminado."
"Summer has ended.","El verano se ha ido."
"Summer is coming.","Se acerca el verano."
"Swimming is easy.","Nadar es fácil."
"Swimming is easy.","Nadar es sencillo."
"Take Tom outside.","Saquen a Tom."
"Take a good look.","Abra bien sus ojos."
"Take it upstairs.","Llévalo arriba."
"Take it upstairs.","Llévalo escaleras arriba."
"Take me with you.","Llévame contigo."
"Take precautions.","Ten cuidado."
"Take precautions.","Ten precaución."
"Talk to somebody.","Habla con alguien."
"Tell him to wait.","Dile que espere."
"Tell me about it!","Ni me lo digas."
"Tell me about it!","¡Dímelo a mí!"
"Tell me about it.","¡Dímelo a mí!"
"Thank you kindly.","Cordialmente gracias."
"That baby is Tom.","Ese bebé es Tom."
"That bag is mine.","Esa mochila es mía."
"That car is hers.","Ese coche es suyo."
"That car is mine.","Ese coche es mío."
"That car is mine.","Ese auto es mío."
"That concerns me.","Eso me preocupa."
"That helps a lot.","Me ha ayudado mucho."
"That helps a lot.","Ha sido una gran ayuda."
"That is not true.","Eso no es cierto."
"That is not true.","Eso no es verdad."
"That looks tacky.","Eso se ve hortera."
"That looks tacky.","Eso parece vulgar."
"That man is dead.","Este hombre está muerto."
"That person died.","Esa persona murió."
"That should help.","Eso debería ayudar."
"That smells nice.","Eso huele bien."
"That sounds fair.","Suena justo."
"That sounds good.","Eso suena bien."
"That was awesome.","Eso fue asombroso."
"That was nothing.","Eso no fue nada."
"That wasn't good.","No ha estado muy ahí."
"That wasn't good.","Ha sido mejorable."
"That wasn't good.","Podría mejorarse."
"That way, please.","Por ahí, haga el favor."
"That worked well.","Eso funcionó bien."
"That's Tom's car.","Ese es el auto de Tom."
"That's a gimmick.","Eso es un truco."
"That's a mistake.","Es un error."
"That's a problem.","Ese es un problema."
"That's a problem.","Eso es un problema."
"That's a problem.","Es un problema."
"That's all I saw.","Eso es todo lo que vi."
"That's all wrong.","Eso está todo mal."
"That's beautiful.","Eso es hermoso."
"That's confusing.","Eso es confuso."
"That's dangerous.","Eso es peligroso."
"That's debatable.","Eso es discutible."
"That's dishonest.","Eso es deshonesto."
"That's fantastic!","¡Eso es fantástico!"
"That's fantastic.","¡Eso es fantástico!"
"That's flammable.","Eso es inflamable."
"That's his house.","Esa es su casa."
"That's idle talk.","Eso es hablar de la mar."
"That's important.","Eso es importante."
"That's my affair.","Eso es asunto mío."
"That's my answer.","Esa es mi respuesta."
"That's my pencil.","Ése es mi lápiz."
"That's my sister.","Es mi hermana."
